timestamp;total_power_import_kwh;total_power_export_kwh;active_power_w;active_voltage_l1_v;active_current_a;active_power_average_w;montly_power_peak_w;montly_power_peak_timestamp;total_gas_m3
2025-11-02:05:36:38;17943.987;3238.95;236;230;1.48;98;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:37:38;17943.991;3238.95;227;229.8;1.44;114;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:38:38;17943.995;3238.95;226;230.1;1.44;129;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:39:38;17943.999;3238.95;228;229.6;1.45;144;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:40:38;17944.002;3238.95;229;228.9;1.47;160;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:41:38;17944.006;3238.95;228;229.2;1.46;175;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:42:39;17944.01;3238.95;225;229.4;1.43;190;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:43:39;17944.014;3238.95;222;229.3;1.41;205;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:44:39;17944.017;3238.95;202;229.2;1.31;0;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:45:40;17944.021;3238.95;202;229.2;1.31;14;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:46:40;17944.024;3238.95;201;229.6;1.28;27;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:47:40;17944.028;3238.95;201;229.7;1.29;41;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:48:40;17944.031;3238.95;200;229.9;1.29;54;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:49:40;17944.034;3238.95;172;229.7;1.24;67;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:50:41;17944.037;3238.95;170;229.8;1.23;79;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:51:41;17944.04;3238.95;171;230.2;1.24;90;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:52:41;17944.043;3238.95;170;230.4;1.23;101;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:53:41;17944.046;3238.95;171;230.8;1.23;113;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:54:41;17944.048;3238.95;171;231.2;1.23;124;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:55:41;17944.051;3238.95;172;231.6;1.23;136;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:56:42;17944.054;3238.95;182;231.7;1.27;147;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:57:42;17944.057;3238.95;186;231.5;1.29;160;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:58:42;17944.06;3238.95;187;231.7;1.29;172;1955;2025-11-01:18:45:00;8729.906
2025-11-02:05:59:42;17944.064;3238.95;173;231.8;1.24;0;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:01:45;17944.07;3238.95;190;231.5;1.3;26;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:02:46;17944.073;3238.95;218;229.5;1.29;39;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:03:46;17944.076;3238.95;172;229.3;1.28;52;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:04:46;17944.079;3238.95;171;228.8;1.26;63;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:05:46;17944.083;3238.95;281;228.2;1.5;78;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:06:46;17944.088;3238.95;280;228.7;1.5;97;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:07:46;17944.092;3238.95;279;228;1.51;115;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:08:46;17944.098;3238.95;323;227.7;1.78;136;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:09:46;17944.103;3238.95;319;228;1.76;158;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:10:46;17944.109;3238.95;336;228.1;1.87;181;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:11:46;17944.113;3238.95;231;228.1;1.62;199;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:12:46;17944.117;3238.95;240;228.4;1.67;215;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:13:46;17944.121;3238.95;238;228.3;1.67;231;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:14:46;17944.125;3238.95;240;227.8;1.69;2;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:15:46;17944.129;3238.95;242;226.7;1.71;18;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:16:47;17944.133;3238.95;241;226.5;1.7;34;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:17:47;17944.137;3238.95;242;226.5;1.71;50;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:18:47;17944.141;3238.95;218;226.5;1.57;65;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:19:47;17944.145;3238.95;219;227;1.57;79;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:20:47;17944.148;3238.95;219;227.2;1.56;94;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:21:47;17944.152;3238.95;218;227.4;1.55;109;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:22:47;17944.156;3238.95;219;227.1;1.56;124;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:23:47;17944.159;3238.95;217;227.2;1.55;138;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:24:47;17944.163;3238.95;219;227.5;1.56;153;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:25:47;17944.167;3238.95;220;227.6;1.57;168;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:26:47;17944.17;3238.95;218;227.3;1.55;182;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:27:47;17944.174;3238.95;222;227;1.62;197;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:28:47;17944.178;3238.95;285;226.6;1.83;212;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:29:47;17944.182;3238.95;275;226.4;1.73;3;1955;2025-11-01:18:45:00;8729.906
2025-11-02:06:30:47;17944.187;3238.95;279;226.5;1.75;21;1955;2025-11-01:18:45:00;8729.937
2025-11-02:06:31:47;17944.192;3238.95;286;226.2;1.79;40;1955;2025-11-01:18:45:00;8729.937
2025-11-02:06:32:47;17944.197;3238.95;297;226;1.84;60;1955;2025-11-01:18:45:00;8729.937
2025-11-02:06:33:48;17944.202;3238.95;294;226.5;1.82;79;1955;2025-11-01:18:45:00;8729.937
2025-11-02:06:34:48;17944.207;3238.95;292;227;1.81;99;1955;2025-11-01:18:45:00;8730.113
2025-11-02:06:35:48;17944.211;3238.95;290;226.9;1.8;118;1955;2025-11-01:18:45:00;8730.113
2025-11-02:06:36:48;17944.216;3238.95;284;226.7;1.77;138;1955;2025-11-01:18:45:00;8730.113
2025-11-02:06:37:48;17944.221;3238.95;281;226.8;1.74;156;1955;2025-11-01:18:45:00;8730.113
2025-11-02:06:38:48;17944.225;3238.95;276;226.6;1.76;174;1955;2025-11-01:18:45:00;8730.113
2025-11-02:06:39:48;17944.23;3238.95;267;226.9;1.68;192;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:40:48;17944.234;3238.95;266;226.4;1.68;210;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:41:48;17944.239;3238.95;267;225.8;1.69;227;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:42:48;17944.243;3238.95;268;225.7;1.69;245;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:43:48;17944.248;3238.95;268;225.7;1.69;263;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:44:48;17944.253;3238.95;292;228.8;1.81;3;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:45:48;17944.257;3238.95;273;228.7;1.74;21;1955;2025-11-01:18:45:00;8730.258
2025-11-02:06:46:48;17944.262;3238.95;273;229.1;1.73;40;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:47:48;17944.266;3238.95;274;228.6;1.73;58;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:48:48;17944.271;3238.95;273;228.5;1.73;76;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:49:48;17944.275;3238.95;230;228.7;1.61;92;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:50:48;17944.281;3238.95;336;229;1.84;115;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:51:48;17944.286;3238.95;342;228.8;1.88;137;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:52:49;17944.292;3238.95;319;228.7;1.73;159;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:53:49;17944.297;3238.95;318;228.7;1.72;180;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:54:49;17944.302;3238.95;319;228.9;1.73;202;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:55:49;17944.308;3238.95;212;229.2;1.49;222;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:56:49;17944.311;3238.95;196;229.3;1.52;236;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:57:49;17944.314;3238.95;196;229.3;1.52;249;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:58:49;17944.317;3238.95;194;229.3;1.51;262;1955;2025-11-01:18:45:00;8730.399
2025-11-02:06:59:49;17944.321;3238.95;195;231.2;1.5;2;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:00:49;17944.324;3238.95;199;230;1.53;15;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:01:49;17944.327;3238.95;197;230.4;1.53;29;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:02:49;17944.331;3238.95;200;227.9;1.55;42;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:03:49;17944.334;3238.95;197;229.1;1.53;55;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:04:49;17944.337;3238.95;198;230.6;1.52;68;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:05:50;17944.341;3238.95;195;229.7;1.52;81;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:06:50;17944.344;3238.95;192;228.9;1.51;94;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:07:50;17944.347;3238.95;191;229.8;1.51;107;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:08:50;17944.35;3238.95;194;228.9;1.53;120;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:09:50;17944.353;3238.95;191;228.6;1.52;133;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:10:50;17944.357;3238.95;191;229.7;1.52;146;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:11:50;17944.36;3238.95;193;230;1.52;158;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:12:50;17944.363;3238.95;199;231.4;1.54;172;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:13:50;17944.367;3238.95;197;231.1;1.53;185;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:14:50;17944.37;3238.95;200;230.4;1.55;2;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:15:50;17944.373;3238.95;199;230.3;1.55;16;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:16:50;17944.376;3238.95;203;230.5;1.57;29;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:17:50;17944.38;3238.95;201;230.6;1.55;42;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:18:50;17944.383;3238.95;248;230.7;1.8;56;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:19:50;17944.387;3238.95;219;230;1.65;71;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:20:50;17944.391;3238.95;244;229.6;1.76;87;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:21:50;17944.395;3238.95;248;229.8;1.78;103;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:22:51;17944.399;3238.95;241;230.1;1.75;119;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:23:51;17944.403;3238.95;239;230.4;1.75;135;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:24:51;17944.407;3238.95;242;230.3;1.76;152;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:25:51;17944.411;3238.95;242;231.2;1.75;168;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:26:51;17944.415;3238.95;222;230.6;1.65;184;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:27:51;17944.419;3238.95;222;231;1.65;198;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:28:51;17944.423;3238.95;224;230.9;1.66;213;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:29:51;17944.426;3238.95;226;230.7;1.66;3;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:30:51;17944.43;3238.95;225;230.8;1.66;18;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:31:51;17944.434;3238.95;223;230.3;1.65;33;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:32:51;17944.438;3238.95;222;230;1.65;48;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:33:51;17944.441;3238.95;162;230.3;1.33;62;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:34:52;17944.446;3238.95;267;230.1;1.35;80;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:35:52;17944.45;3238.95;274;229.9;1.38;98;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:36:52;17944.455;3238.95;342;229.8;1.72;119;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:37:52;17944.461;3238.95;342;230.1;1.72;142;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:38:52;17944.467;3238.95;342;229.9;1.72;165;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:39:52;17944.472;3238.95;234;230.6;1.25;187;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:40:52;17944.476;3238.95;235;230.1;1.26;202;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:41:52;17944.48;3238.95;232;230.4;1.24;218;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:42:52;17944.484;3238.95;229;229.9;1.22;233;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:43:52;17944.488;3238.95;223;229.8;1.19;249;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:44:52;17944.492;3238.95;221;229.1;1.21;3;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:45:52;17944.495;3238.95;221;229.8;1.18;18;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:46:52;17944.499;3238.95;221;228.2;1.19;33;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:47:52;17944.503;3238.95;225;228.5;1.33;48;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:48:52;17944.507;3238.95;225;228.5;1.31;63;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:49:52;17944.51;3238.95;224;228.7;1.31;78;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:50:52;17944.515;3238.95;284;230.2;1.55;95;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:51:52;17944.519;3238.95;280;230.9;1.53;114;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:52:53;17944.524;3238.95;286;231.2;1.56;133;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:53:53;17944.529;3238.95;312;230.6;1.74;153;1955;2025-11-01:18:45:00;8730.399
2025-11-02:07:54:53;17944.534;3238.95;319;231.3;1.75;174;1955;2025-11-01:18:45:00;8730.497
2025-11-02:07:55:53;17944.54;3238.95;319;231.3;1.75;195;1955;2025-11-01:18:45:00;8730.497
2025-11-02:07:56:53;17944.545;3238.95;316;231.6;1.74;216;1955;2025-11-01:18:45:00;8730.497
2025-11-02:07:57:53;17944.55;3238.95;312;230.9;1.75;237;1955;2025-11-01:18:45:00;8730.497
2025-11-02:07:58:53;17944.555;3238.95;309;230.3;1.74;258;1955;2025-11-01:18:45:00;8730.497
2025-11-02:07:59:53;17944.561;3238.95;306;229.8;1.73;5;1955;2025-11-01:18:45:00;8730.497
2025-11-02:08:00:53;17944.566;3238.95;336;231.3;1.83;27;1955;2025-11-01:18:45:00;8730.497
2025-11-02:08:01:53;17944.572;3238.95;312;231.3;1.68;49;1955;2025-11-01:18:45:00;8730.802
2025-11-02:08:02:53;17944.577;3238.95;307;231.8;1.66;69;1955;2025-11-01:18:45:00;8730.802
2025-11-02:08:03:53;17944.582;3238.95;303;232.7;1.63;90;1955;2025-11-01:18:45:00;8730.802
2025-11-02:08:04:53;17944.587;3238.95;298;233.2;1.61;110;1955;2025-11-01:18:45:00;8730.945
2025-11-02:08:05:53;17944.592;3238.95;287;232.4;1.58;129;1955;2025-11-01:18:45:00;8730.945
2025-11-02:08:06:53;17944.596;3238.95;273;231.5;1.54;148;1955;2025-11-01:18:45:00;8730.945
2025-11-02:08:07:53;17944.601;3238.95;259;231.3;1.48;166;1955;2025-11-01:18:45:00;8730.945
2025-11-02:08:08:53;17944.605;3238.95;237;231.3;1.38;182;1955;2025-11-01:18:45:00;8730.945
2025-11-02:08:09:53;17944.609;3238.95;215;230.4;1.3;198;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:10:53;17944.612;3238.95;195;230;1.25;211;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:11:54;17944.615;3238.95;171;228.7;1.2;223;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:12:54;17944.618;3238.95;159;229.4;1.2;235;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:13:54;17944.62;3238.95;131;229.7;1.13;244;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:14:54;17944.623;3238.95;113;230.5;1.09;2;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:15:54;17944.624;3238.95;94;230.4;1.05;8;1955;2025-11-01:18:45:00;8731.165
2025-11-02:08:16:54;17944.626;3238.95;80;230.7;1.04;14;1955;2025-11-01:18:45:00;8731.409
2025-11-02:08:17:54;17944.628;3238.95;244;229.4;1.89;25;1955;2025-11-01:18:45:00;8731.409
2025-11-02:08:18:54;17944.633;3238.95;240;229.3;1.86;42;1955;2025-11-01:18:45:00;8731.409
2025-11-02:08:19:54;17944.636;3238.95;221;229.4;1.79;57;1955;2025-11-01:18:45:00;8731.526
2025-11-02:08:20:54;17944.64;3238.95;226;229.7;1.77;72;1955;2025-11-01:18:45:00;8731.526
2025-11-02:08:21:54;17944.644;3238.95;225;230.1;1.77;87;1955;2025-11-01:18:45:00;8731.526
2025-11-02:08:22:54;17944.648;3238.95;222;230.3;1.76;102;1955;2025-11-01:18:45:00;8731.526
2025-11-02:08:23:54;17944.65;3238.95;107;230.5;1.34;110;1955;2025-11-01:18:45:00;8731.526
2025-11-02:08:24:54;17944.652;3238.95;99;230;1.33;119;1955;2025-11-01:18:45:00;8731.68
2025-11-02:08:25:54;17944.654;3238.95;90;229.8;1.32;125;1955;2025-11-01:18:45:00;8731.68
2025-11-02:08:26:54;17944.655;3238.95;54;230;1.28;130;1955;2025-11-01:18:45:00;8731.68
2025-11-02:08:27:54;17944.655;3238.95;-11;230.3;1.12;131;1955;2025-11-01:18:45:00;8731.68
2025-11-02:08:28:54;17944.655;3238.95;32;230.6;1.32;132;1955;2025-11-01:18:45:00;8731.68
2025-11-02:08:29:55;17944.655;3238.95;13;230.3;1.24;0;1955;2025-11-01:18:45:00;8731.68
2025-11-02:08:30:55;17944.655;3238.95;17;230.7;1.22;1;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:31:55;17944.656;3238.95;22;230.5;1.22;2;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:32:55;17944.656;3238.95;32;230.9;1.22;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:33:55;17944.657;3238.95;43;231.1;1.2;7;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:34:55;17944.658;3238.95;57;230.7;1.23;10;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:35:55;17944.659;3238.95;72;230.8;1.24;14;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:36:55;17944.66;3238.95;63;231.1;1.19;19;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:37:55;17944.661;3238.95;68;230;1.15;24;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:38:55;17944.662;3238.95;81;229.4;1.19;29;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:39:55;17944.664;3238.95;80;230.1;1.17;34;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:40:55;17944.665;3238.95;90;230.8;1.17;40;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:41:55;17944.667;3238.95;97;230.7;1.18;46;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:42:55;17944.668;3238.95;94;230.5;1.13;52;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:43:55;17944.67;3238.95;98;231.2;1.13;59;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:44:55;17944.672;3238.95;95;230.9;1.11;1;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:45:55;17944.673;3238.95;94;230.8;1.11;8;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:46:55;17944.675;3238.95;94;230.7;1.11;14;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:47:56;17944.676;3238.95;88;230.4;1.1;20;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:48:56;17944.678;3238.95;85;230.5;1.09;26;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:49:56;17944.679;3238.95;81;229.6;1.07;31;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:50:56;17944.68;3238.95;78;229.6;1.09;37;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:51:56;17944.682;3238.95;77;229.9;1.1;42;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:52:56;17944.683;3238.95;71;230.1;1.09;47;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:53:56;17944.684;3238.95;68;229.8;1.09;51;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:54:56;17944.686;3238.95;169;229.3;1.5;60;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:55:56;17944.689;3238.95;169;229;1.51;71;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:56:56;17944.691;3238.95;99;229.6;1.27;80;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:57:56;17944.693;3238.95;135;229.8;1.69;87;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:58:56;17944.695;3238.95;100;230.1;1.25;95;1955;2025-11-01:18:45:00;8731.757
2025-11-02:08:59:56;17944.697;3238.95;89;230.3;1.23;1;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:00:56;17944.697;3238.95;-30;230.7;0.83;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:01:56;17944.697;3238.95;-41;230.6;0.82;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:02:56;17944.697;3238.95;-58;230.5;0.86;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:03:56;17944.697;3238.951;-50;229.9;0.97;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:04:56;17944.697;3238.952;-64;230.2;0.97;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:05:57;17944.697;3238.953;-71;230.3;0.97;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:06:57;17944.697;3238.954;4;230.1;0.94;4;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:07:57;17944.697;3238.954;-27;230.2;1.05;5;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:08:57;17944.697;3238.954;5;230.6;1;5;1955;2025-11-01:18:45:00;8731.757
2025-11-02:09:09:57;17944.697;3238.955;-27;230.7;1.05;5;1955;2025-11-01:18:45:00;8731.807
2025-11-02:09:10:57;17944.697;3238.955;0;231;1.08;5;1955;2025-11-01:18:45:00;8731.807
2025-11-02:09:11:57;17944.697;3238.955;-43;231;0.99;5;1955;2025-11-01:18:45:00;8731.807
2025-11-02:09:12:57;17944.697;3238.956;0;231.6;1;5;1955;2025-11-01:18:45:00;8731.807
2025-11-02:09:13:57;17944.697;3238.956;-24;231.4;0.97;5;1955;2025-11-01:18:45:00;8731.807
2025-11-02:09:14:57;17944.697;3238.956;-25;231.5;0.95;0;1955;2025-11-01:18:45:00;8731.807
2025-11-02:09:15:57;17944.697;3238.956;-36;230.8;0.96;0;1955;2025-11-01:18:45:00;8732.032
2025-11-02:09:16:57;17944.697;3238.957;-54;228.1;0.96;0;1955;2025-11-01:18:45:00;8732.032
2025-11-02:09:17:57;17944.697;3238.957;4;228.1;0.91;0;1955;2025-11-01:18:45:00;8732.032
2025-11-02:09:18:57;17944.697;3238.959;-95;228.1;1.01;0;1955;2025-11-01:18:45:00;8732.032
2025-11-02:09:19:57;17944.697;3238.959;-7;228.3;0.83;0;1955;2025-11-01:18:45:00;8732.204
2025-11-02:09:20:57;17944.697;3238.959;0;231.6;0.84;0;1955;2025-11-01:18:45:00;8732.204
2025-11-02:09:21:58;17944.697;3238.959;-6;231.4;0.84;0;1955;2025-11-01:18:45:00;8732.204
2025-11-02:09:22:58;17944.697;3238.959;-4;231;0.82;0;1955;2025-11-01:18:45:00;8732.204
2025-11-02:09:23:58;17944.697;3238.959;-26;231.3;0.85;0;1955;2025-11-01:18:45:00;8732.204
2025-11-02:09:24:58;17944.697;3238.959;6;231.5;0.87;0;1955;2025-11-01:18:45:00;8732.206
2025-11-02:09:25:58;17944.697;3238.959;-2;231.4;0.86;0;1955;2025-11-01:18:45:00;8732.206
2025-11-02:09:26:58;17944.697;3238.959;20;231.7;0.95;0;1955;2025-11-01:18:45:00;8732.206
2025-11-02:09:27:58;17944.697;3238.959;0;231.1;0.96;0;1955;2025-11-01:18:45:00;8732.206
2025-11-02:09:28:58;17944.697;3238.959;10;230.8;0.99;1;1955;2025-11-01:18:45:00;8732.206
2025-11-02:09:29:58;17944.697;3238.959;0;230.9;1;0;1955;2025-11-01:18:45:00;8732.272
2025-11-02:09:30:58;17944.697;3238.959;0;230.7;1.03;0;1955;2025-11-01:18:45:00;8732.272
2025-11-02:09:31:58;17944.697;3238.959;-5;229.8;1.21;1;1955;2025-11-01:18:45:00;8732.272
2025-11-02:09:32:58;17944.697;3238.959;0;230.7;1.21;1;1955;2025-11-01:18:45:00;8732.272
2025-11-02:09:33:58;17944.697;3238.959;0;230.1;1.21;1;1955;2025-11-01:18:45:00;8732.272
2025-11-02:09:34:58;17944.697;3238.959;4;230;1.21;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:35:58;17944.697;3238.959;-88;229.4;1.27;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:36:58;17944.697;3238.96;-91;230;1.29;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:37:59;17944.697;3238.96;0;230;1.03;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:38:59;17944.697;3238.96;0;230.2;1.1;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:39:59;17944.697;3238.96;0;230.2;1.07;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:40:59;17944.697;3238.96;0;230.3;1.08;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:41:59;17944.697;3238.96;-3;230.4;1.09;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:42:59;17944.697;3238.96;0;231.1;1.1;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:43:59;17944.697;3238.96;-5;230.1;1.12;2;1955;2025-11-01:18:45:00;8732.332
2025-11-02:09:44:59;17944.697;3238.96;0;230.1;1.13;0;1955;2025-11-01:18:45:00;8732.332
